Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0402_1005Metric",137.579100,-98.615500,-90.000000,bottom
"C31","100nF","C_0402_1005Metric",113.157000,-107.048300,-90.000000,bottom
"C32","100nF","C_0402_1005Metric",135.128000,-106.591100,-90.000000,bottom
"C36","NC","C_0402_1005Metric",102.300000,-132.900000,-90.000000,bottom
"C37","100nF","C_0402_1005Metric",117.200000,-108.100000,-90.000000,bottom
"C38","100nF","C_0402_1005Metric",115.773200,-110.693200,180.000000,bottom
"C39","NC","C_0402_1005Metric",105.300000,-132.920000,-90.000000,bottom
"C40","100nF","C_0402_1005Metric",116.248180,-112.095280,90.000000,bottom
"C41","10uF","C_0603_1608Metric",105.275000,-125.275000,90.000000,bottom
"C42","100nF","C_0402_1005Metric",115.785900,-108.775500,180.000000,bottom
"C43","100nF","C_0402_1005Metric",115.303300,-112.095280,90.000000,bottom
"C44","NC","C_0402_1005Metric",116.000000,-136.000000,180.000000,bottom
"C45","10uF","C_0603_1608Metric",116.597756,-121.425000,180.000000,bottom
"C46","10uF","C_0603_1608Metric",122.600000,-134.400000,0.000000,bottom
"C47","10uF","C_0603_1608Metric",122.600000,-132.800000,0.000000,bottom
"C48","100nF","C_0402_1005Metric",117.637560,-110.637320,180.000000,bottom
"C49","1uF","C_0402_1005Metric",126.400000,-85.000000,0.000000,bottom
"C50","1uF","C_0402_1005Metric",121.200000,-92.500000,0.000000,bottom
"C53","22uF","C_0402_1005Metric",112.699800,-108.483400,0.000000,bottom
"C54","22uF","C_0402_1005Metric",115.773200,-109.753400,180.000000,bottom
"C55","22uF","C_0402_1005Metric",114.287300,-103.517700,180.000000,bottom
"C56","22uF","C_0402_1005Metric",113.576100,-112.087600,90.000000,bottom
"C59","100nF","C_0402_1005Metric",112.382300,-104.927400,0.000000,bottom
"C60","1uF","C_0402_1005Metric",106.662500,-94.420000,-90.000000,bottom
"C61","22uF","C_0402_1005Metric",150.650000,-99.340000,90.000000,bottom
"C62","22uF","C_0402_1005Metric",150.780000,-130.780000,90.000000,bottom
"C64","100nF","C_0402_1005Metric",116.560600,-104.267000,90.000000,bottom
"C65","100nF","C_0402_1005Metric",114.287300,-104.533700,180.000000,bottom
"C66","100nF","C_0402_1005Metric",110.490000,-107.721400,180.000000,bottom
"C67","100nF","C_0402_1005Metric",115.785900,-107.784900,180.000000,bottom
"C68","100nF","C_0402_1005Metric",111.467900,-111.696500,90.000000,bottom
"C69","22uF","C_0402_1005Metric",110.490000,-105.740200,180.000000,bottom
"C70","22uF","C_0402_1005Metric",110.490000,-111.696500,90.000000,bottom
"C73","100nF","C_0402_1005Metric",118.900000,-104.500000,180.000000,bottom
"C74","100nF","C_0402_1005Metric",130.860800,-98.501200,180.000000,bottom
"C75","100nF","C_0402_1005Metric",142.024100,-96.405700,0.000000,bottom
"C76","100nF","C_0402_1005Metric",140.093700,-96.405700,0.000000,bottom
"C77","100nF","C_0402_1005Metric",137.871200,-97.180400,0.000000,bottom
"C78","100nF","C_0402_1005Metric",142.024100,-95.351600,0.000000,bottom
"C79","100nF","C_0402_1005Metric",134.302500,-99.402900,180.000000,bottom
"C80","100nF","C_0402_1005Metric",133.731000,-97.447100,180.000000,bottom
"C82","100nF","C_0402_1005Metric",138.938000,-100.888800,0.000000,bottom
"C85","100nF","C_0402_1005Metric",131.826000,-102.882700,180.000000,bottom
"C86","100nF","C_0402_1005Metric",130.642360,-104.653080,180.000000,bottom
"C87","100nF","C_0402_1005Metric",128.562100,-103.593900,90.000000,bottom
"C89","100nF","C_0402_1005Metric",141.411960,-105.628440,0.000000,bottom
"C90","100nF","C_0402_1005Metric",130.175000,-101.942900,0.000000,bottom
"C91","100nF","C_0402_1005Metric",139.319000,-105.613200,0.000000,bottom
"C92","100nF","C_0402_1005Metric",128.130300,-98.079500,90.000000,bottom
"C99","10uF","C_0402_1005Metric",109.982000,-106.730800,180.000000,bottom
"J4","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Horizontal",153.860000,-87.200000,90.000000,bottom
"J6","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Horizontal",118.280000,-87.200000,90.000000,bottom
"J7","Conn_Coaxial","SMA_Amphenol_901-143_Horizontal",99.500000,-127.600000,-90.000000,bottom
"L5","120R@100MHz","L_0603_1608Metric",120.200000,-133.600000,90.000000,bottom
"R6","240R","R_0402_1005Metric",120.939560,-102.280720,0.000000,bottom
"R23","100k","R_0402_1005Metric",106.000000,-114.000000,180.000000,bottom
"R26","0R","R_0402_1005Metric",114.300000,-105.524300,180.000000,bottom
"R30","10k","R_0402_1005Metric",110.083600,-104.470200,180.000000,bottom
"R33","1k","R_0402_1005Metric",110.600000,-136.000000,180.000000,bottom
"R34","100K","R_0402_1005Metric",105.565000,-129.515000,90.000000,bottom
"R35","0R","R_0402_1005Metric",103.800000,-132.480000,0.000000,bottom
"R36","1k","R_0402_1005Metric",108.400000,-136.000000,0.000000,bottom
"R37","100k","R_0402_1005Metric",118.000000,-136.000000,0.000000,bottom
"R38","0R","R_0402_1005Metric",119.765000,-124.625000,-90.000000,bottom
"R39","10k","R_0402_1005Metric",119.757244,-126.532244,-90.000000,bottom
"R40","10K","R_0402_1005Metric",107.300000,-121.600000,0.000000,bottom
"RN1","10k","R_Array_Convex_4x0402",113.675000,-121.025000,90.000000,bottom
"RN2","10k","R_Array_Convex_4x0402",109.625000,-121.125000,90.000000,bottom
"U8","RTL8723DS","RTL8723",112.700000,-128.825000,0.000000,bottom
"U10","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",127.500000,-89.300000,-90.000000,bottom
"U13","74AHC1G32","SOT-353_SC-70-5",108.657500,-94.410000,-90.000000,bottom
"U14","NUP2202","SOT-363_SC-70-6",149.700000,-125.600000,180.000000,bottom
"C1","100nF","C_0402_1005Metric",140.144500,-94.183200,0.000000,top
"C3","100nF","C_0402_1005Metric",138.569700,-94.742000,90.000000,top
"C4","100nF","C_0402_1005Metric",112.890300,-101.295200,0.000000,top
"C5","100nF","C_0402_1005Metric",114.833400,-101.295200,0.000000,top
"C6","22uF","C_0805_2012Metric",143.230600,-114.935000,-90.000000,top
"C7","10nF","C_0402_1005Metric",145.973800,-109.626400,180.000000,top
"C8","450pF","C_0402_1005Metric",143.891000,-111.048800,90.000000,top
"C9","22uF","C_0805_2012Metric",146.812000,-115.544600,180.000000,top
"C10","22uF","C_0805_2012Metric",146.812000,-117.602000,180.000000,top
"C11","22uF","C_0805_2012Metric",132.575300,-121.272300,90.000000,top
"C12","10nF","C_0402_1005Metric",130.479800,-126.771400,0.000000,top
"C13","450pF","C_0402_1005Metric",133.096000,-125.145800,0.000000,top
"C14","22uF","C_0805_2012Metric",129.692400,-121.018300,0.000000,top
"C15","22uF","C_0805_2012Metric",129.692400,-118.986300,0.000000,top
"C16","22uF","C_0805_2012Metric",143.840200,-121.081800,90.000000,top
"C17","22uF","C_0805_2012Metric",135.041600,-135.763000,0.000000,top
"C18","10nF","C_0402_1005Metric",141.300200,-126.949200,0.000000,top
"C19","5nF","C_0402_1005Metric",143.319500,-125.730000,-90.000000,top
